    0.10000000E+00    0.18515094E+01   -0.76357981E+02   -0.74506472E+02
    0.20000000E+00    0.18505035E+01   -0.76356976E+02   -0.74506472E+02
    0.30000000E+00    0.18488292E+01   -0.76355300E+02   -0.74506471E+02
    0.40000001E+00    0.18465109E+01   -0.76352979E+02   -0.74506468E+02
    0.50000001E+00    0.18436000E+01   -0.76350062E+02   -0.74506462E+02
    0.60000001E+00    0.18401778E+01   -0.76346633E+02   -0.74506455E+02
    0.70000001E+00    0.18363555E+01   -0.76342801E+02   -0.74506446E+02
    0.80000001E+00    0.18322723E+01   -0.76338707E+02   -0.74506435E+02
    0.90000001E+00    0.18280891E+01   -0.76334512E+02   -0.74506423E+02
    0.10000000E+01    0.18239791E+01   -0.76330390E+02   -0.74506411E+02
    0.11000000E+01    0.18201151E+01   -0.76326515E+02   -0.74506400E+02
    0.12000000E+01    0.18166546E+01   -0.76323045E+02   -0.74506391E+02
    0.13000000E+01    0.18137258E+01   -0.76320110E+02   -0.74506385E+02
    0.14000000E+01    0.18114151E+01   -0.76317797E+02   -0.74506382E+02
    0.15000000E+01    0.18097589E+01   -0.76316142E+02   -0.74506383E+02
    0.16000000E+01    0.18087416E+01   -0.76315128E+02   -0.74506387E+02
    0.17000000E+01    0.18082988E+01   -0.76314693E+02   -0.74506394E+02
    0.18000000E+01    0.18083262E+01   -0.76314729E+02   -0.74506403E+02
    0.19000000E+01    0.18086927E+01   -0.76315105E+02   -0.74506412E+02
    0.20000000E+01    0.18092539E+01   -0.76315676E+02   -0.74506422E+02
    0.21000000E+01    0.18098660E+01   -0.76316296E+02   -0.74506430E+02
    0.22000000E+01    0.18103973E+01   -0.76316835E+02   -0.74506438E+02
    0.23000000E+01    0.18107366E+01   -0.76317180E+02   -0.74506443E+02
    0.24000000E+01    0.18107979E+01   -0.76317245E+02   -0.74506447E+02
    0.25000000E+01    0.18105223E+01   -0.76316971E+02   -0.74506449E+02
    0.26000000E+01    0.18098769E+01   -0.76316326E+02   -0.74506449E+02
    0.27000000E+01    0.18088523E+01   -0.76315300E+02   -0.74506448E+02
    0.28000000E+01    0.18074587E+01   -0.76313904E+02   -0.74506446E+02
    0.29000000E+01    0.18057218E+01   -0.76312165E+02   -0.74506443E+02
    0.30000000E+01    0.18036791E+01   -0.76310119E+02   -0.74506440E+02
    0.31000000E+01    0.18013753E+01   -0.76307811E+02   -0.74506436E+02
    0.32000000E+01    0.17988597E+01   -0.76305292E+02   -0.74506432E+02
    0.33000000E+01    0.17961834E+01   -0.76302612E+02   -0.74506429E+02
    0.34000001E+01    0.17933974E+01   -0.76299823E+02   -0.74506425E+02
    0.35000001E+01    0.17905509E+01   -0.76296973E+02   -0.74506422E+02
    0.36000001E+01    0.17876903E+01   -0.76294109E+02   -0.74506419E+02
    0.37000001E+01    0.17848586E+01   -0.76291275E+02   -0.74506416E+02
    0.38000001E+01    0.17820949E+01   -0.76288509E+02   -0.74506414E+02
    0.39000001E+01    0.17794340E+01   -0.76285846E+02   -0.74506412E+02
    0.40000001E+01    0.17769070E+01   -0.76283317E+02   -0.74506410E+02
    0.41000001E+01    0.17745404E+01   -0.76280949E+02   -0.74506409E+02
    0.42000001E+01    0.17723571E+01   -0.76278764E+02   -0.74506407E+02
    0.43000001E+01    0.17703762E+01   -0.76276783E+02   -0.74506406E+02
    0.44000001E+01    0.17686130E+01   -0.76275019E+02   -0.74506405E+02
    0.45000001E+01    0.17670795E+01   -0.76273484E+02   -0.74506405E+02
    0.46000001E+01    0.17657845E+01   -0.76272189E+02   -0.74506405E+02
    0.47000001E+01    0.17647340E+01   -0.76271138E+02   -0.74506404E+02
    0.48000001E+01    0.17639312E+01   -0.76270336E+02   -0.74506404E+02
    0.49000001E+01    0.17633767E+01   -0.76269781E+02   -0.74506405E+02
    0.50000001E+01    0.17630694E+01   -0.76269474E+02   -0.74506405E+02
    0.51000001E+01    0.17630057E+01   -0.76269411E+02   -0.74506405E+02
    0.52000001E+01    0.17631808E+01   -0.76269587E+02   -0.74506406E+02
    0.53000001E+01    0.17635883E+01   -0.76269995E+02   -0.74506406E+02
    0.54000001E+01    0.17642205E+01   -0.76270628E+02   -0.74506407E+02
    0.55000001E+01    0.17650690E+01   -0.76271477E+02   -0.74506408E+02
    0.56000001E+01    0.17661243E+01   -0.76272533E+02   -0.74506408E+02
    0.57000001E+01    0.17673767E+01   -0.76273786E+02   -0.74506409E+02
    0.58000001E+01    0.17688157E+01   -0.76275226E+02   -0.74506410E+02
    0.59000001E+01    0.17704305E+01   -0.76276841E+02   -0.74506411E+02
    0.60000001E+01    0.17722103E+01   -0.76278622E+02   -0.74506412E+02
    0.61000001E+01    0.17741438E+01   -0.76280556E+02   -0.74506413E+02
    0.62000001E+01    0.17762197E+01   -0.76282633E+02   -0.74506413E+02
    0.63000001E+01    0.17784264E+01   -0.76284841E+02   -0.74506414E+02
    0.64000001E+01    0.17807523E+01   -0.76287167E+02   -0.74506415E+02
    0.65000001E+01    0.17831857E+01   -0.76289602E+02   -0.74506416E+02
    0.66000001E+01    0.17857147E+01   -0.76292132E+02   -0.74506417E+02
    0.67000001E+01    0.17883271E+01   -0.76294745E+02   -0.74506418E+02
    0.68000001E+01    0.17910106E+01   -0.76297429E+02   -0.74506419E+02
    0.69000001E+01    0.17937526E+01   -0.76300172E+02   -0.74506420E+02
    0.70000001E+01    0.17965403E+01   -0.76302961E+02   -0.74506421E+02
    0.71000001E+01    0.17993604E+01   -0.76305782E+02   -0.74506422E+02
