   2   0.13785476E+000   0.16461150E+000   0.16294790E+000   0.16029023E+000   0.15254401E+000   0.18621370E+000   0.15043105E+000   0.15784973E+000   0.15955722E+000   0.15624215E+000   0.15596701E+000   0.15315399E+000   0.17002276E+000   0.16140837E+000   0.17502907E+000   0.15804962E+000   0.16831967E+000   0.15022167E+000   0.15227462E+000   0.16700461E+000
  10   0.35886737E+000   0.36537863E+000   0.38365621E+000   0.37476517E+000   0.36829703E+000   0.36855948E+000   0.34791955E+000   0.36905561E+000   0.36956268E+000   0.35609073E+000   0.34486415E+000   0.35763277E+000   0.37637099E+000   0.34747878E+000   0.34273158E+000   0.37408135E+000   0.35386852E+000   0.36570734E+000   0.37036685E+000   0.34573293E+000
  50   0.41249367E+000   0.41262338E+000   0.43208309E+000   0.40903821E+000   0.43169342E+000   0.41929360E+000   0.41809473E+000   0.42253666E+000   0.40177413E+000   0.42427514E+000   0.40964676E+000   0.42213084E+000   0.43358309E+000   0.39707846E+000   0.43604108E+000   0.41843680E+000   0.39363824E+000   0.40200185E+000   0.41180402E+000   0.41674519E+000
 100   0.43417769E+000   0.42149059E+000   0.41888088E+000   0.43365681E+000   0.42082508E+000   0.41902484E+000   0.41533534E+000   0.41033554E+000   0.42941986E+000   0.41331419E+000   0.41989111E+000   0.42944800E+000   0.41492171E+000   0.42468698E+000   0.43116581E+000   0.41748894E+000   0.43998377E+000   0.42345021E+000   0.42668655E+000   0.42673940E+000
